time,kind,id,x,y
1.4500,agent,agent_08,5.283499,4.620908
1.4500,agent,agent_09,2.752293,3.701230
1.4500,agent,agent_10,4.218513,5.252298
1.4500,agent,agent_11,2.347979,4.496775
1.4500,agent,agent_12,2.319296,3.539704
1.4500,agent,agent_13,4.955347,3.129063
1.4500,agent,agent_14,2.504133,4.804897
1.4500,agent,agent_15,2.543704,2.868924
1.4500,cargo,cargo_0,3.756604,3.806241
1.5000,agent,agent_00,4.219588,2.662503
1.5000,agent,agent_01,2.882129,3.109152
1.5000,agent,agent_02,5.259799,4.170469
1.5000,agent,agent_03,2.183104,4.004980
1.5000,agent,agent_04,4.879946,5.518830
1.5000,agent,agent_05,5.229664,3.566222
1.5000,agent,agent_06,2.439734,3.167132
1.5000,agent,agent_07,3.333632,5.161457
1.5000,agent,agent_08,5.266704,4.615989
1.5000,agent,agent_09,2.760207,3.708403
1.5000,agent,agent_10,4.208316,5.238076
1.5000,agent,agent_11,2.364442,4.490841
1.5000,agent,agent_12,2.324774,3.540268
1.5000,agent,agent_13,4.958167,3.130272
1.5000,agent,agent_14,2.519646,4.799093
1.5000,agent,agent_15,2.552129,2.877252
1.5000,cargo,cargo_0,3.755696,3.806282
1.5500,agent,agent_00,4.213824,2.675224
1.5500,agent,agent_01,2.897871,3.107658
1.5500,agent,agent_02,5.242600,4.167239
1.5500,agent,agent_03,2.194491,4.006688
1.5500,agent,agent_04,4.864025,5.511566
1.5500,agent,agent_05,5.219680,3.569640
1.5500,agent,agent_06,2.445938,3.171201
1.5500,agent,agent_07,3.334362,5.155016
1.5500,agent,agent_08,5.249907,4.611082
1.5500,agent,agent_09,2.767712,3.715572
1.5500,agent,agent_10,4.198584,5.223531
1.5500,agent,agent_11,2.380992,4.485153
1.5500,agent,agent_12,2.330260,3.540024
1.5500,agent,agent_13,4.967841,3.128565
1.5500,agent,agent_14,2.534135,4.794455
1.5500,agent,agent_15,2.560705,2.885302
1.5500,cargo,cargo_0,3.755696,3.806282
1.6000,agent,agent_00,4.208151,2.687534
1.6000,agent,agent_01,2.887655,3.104001
1.6000,agent,agent_02,5.225341,4.164344
1.6000,agent,agent_03,2.206183,4.008370
1.6000,agent,agent_04,4.848136,5.504232
1.6000,agent,agent_05,5.209383,3.572965
1.6000,agent,agent_06,2.452035,3.175132
1.6000,agent,agent_07,3.335168,5.149041
1.6000,agent,agent_08,5.233132,4.606096
1.6000,agent,agent_09,2.775055,3.722375
1.6000,agent,agent_10,4.189308,5.208692
1.6000,agent,agent_11,2.397108,4.479806
1.6000,agent,agent_12,2.335706,3.539870
1.6000,agent,agent_13,4.961330,3.127633
1.6000,agent,agent_14,2.548178,4.789831
1.6000,agent,agent_15,2.569500,2.893163
1.6000,cargo,cargo_0,3.755696,3.806282
1.6500,agent,agent_00,4.202257,2.699459
1.6500,agent,agent_01,2.877529,3.100325
1.6500,agent,agent_02,5.208084,4.161437
1.6500,agent,agent_03,2.214087,4.009551
1.6500,agent,agent_04,4.833790,5.494209
1.6500,agent,agent_05,5.199097,3.575922
1.6500,agent,agent_06,2.458122,3.179098
1.6500,agent,agent_07,3.335753,5.143221
1.6500,agent,agent_08,5.216708,4.601391
1.6500,agent,agent_09,2.782343,3.728923
1.6500,agent,agent_10,4.180387,5.193637
1.6500,agent,agent_11,2.412945,4.474433
1.6500,agent,agent_12,2.341217,3.539723
1.6500,agent,agent_13,4.955983,3.126447
1.6500,agent,agent_14,2.561758,4.786290
1.6500,agent,agent_15,2.578430,2.900848
1.6500,cargo,cargo_0,3.755696,3.806282
1.7000,agent,agent_00,4.196651,2.710892
1.7000,agent,agent_01,2.891375,3.100614
1.7000,agent,agent_02,5.190781,4.158821
1.7000,agent,agent_03,2.222172,4.010697
1.7000,agent,agent_04,4.819444,5.484187
1.7000,agent,agent_05,5.188598,3.578754
1.7000,agent,agent_06,2.463862,3.183663
1.7000,agent,agent_07,3.336414,5.137918
1.7000,agent,agent_08,5.201539,4.596870
1.7000,agent,agent_09,2.789258,3.734949
1.7000,agent,agent_10,4.171952,5.178304
1.7000,agent,agent_11,2.428375,4.469093
