iteration,time,cargo_id,strict_coverage,legacy_coverage,min_signed_clearance,max_penetration,agents_inside,contacts,net_force_x,net_force_y,net_torque
148,7.4000,cargo_0,1.000000,1.000000,0.094140,0.035860,0,4,5.095235,26.332968,13.700145
149,7.4500,cargo_0,1.000000,1.000000,0.094046,0.035954,0,4,5.884754,24.418608,13.243413
150,7.5000,cargo_0,1.000000,1.000000,0.098032,0.031968,0,4,1.120880,22.408260,13.095656
151,7.5500,cargo_0,1.000000,1.000000,0.097510,0.032490,0,4,4.908938,20.899588,12.911209
152,7.6000,cargo_0,1.000000,1.000000,0.096399,0.033601,0,4,4.629888,25.684841,11.262247
153,7.6500,cargo_0,1.000000,1.000000,0.095445,0.034555,0,4,5.974956,27.206534,9.858598
154,7.7000,cargo_0,1.000000,1.000000,0.094808,0.035192,0,4,4.837980,24.503413,10.488114
155,7.7500,cargo_0,1.000000,1.000000,0.094937,0.035063,0,4,5.069117,25.117442,10.225041
156,7.8000,cargo_0,1.000000,1.000000,0.094431,0.035569,0,4,5.484032,25.027609,11.277565
157,7.8500,cargo_0,1.000000,1.000000,0.094564,0.035436,0,4,6.017580,23.539461,11.665572
158,7.9000,cargo_0,1.000000,1.000000,0.094609,0.035391,0,5,4.440407,24.327044,11.552349
159,7.9500,cargo_0,1.000000,1.000000,0.094670,0.035330,0,5,4.168585,22.428501,11.520183
160,8.0000,cargo_0,1.000000,1.000000,0.094320,0.035680,0,5,4.361114,23.138921,10.831575
161,8.0500,cargo_0,1.000000,1.000000,0.094444,0.035556,0,5,3.883164,24.422312,9.542398
162,8.1000,cargo_0,1.000000,1.000000,0.094072,0.035928,0,5,3.208908,23.630758,8.668745
163,8.1500,cargo_0,1.000000,1.000000,0.093675,0.036325,0,5,3.762390,24.693272,8.169909
164,8.2000,cargo_0,1.000000,1.000000,0.093288,0.036712,0,4,7.436038,25.351953,11.311330
165,8.2500,cargo_0,1.000000,1.000000,0.093277,0.036723,0,4,7.029964,23.215574,11.326383
166,8.3000,cargo_0,1.000000,1.000000,0.093569,0.036431,0,4,6.842608,24.989188,11.788245
167,8.3500,cargo_0,1.000000,1.000000,0.093885,0.036115,0,4,8.854587,23.294288,10.346004
168,8.4000,cargo_0,1.000000,1.000000,0.094757,0.035243,0,4,13.788384,23.894292,8.106284
169,8.4500,cargo_0,1.000000,1.000000,0.095709,0.034291,0,4,10.417990,22.422328,6.639531
170,8.5000,cargo_0,1.000000,1.000000,0.096415,0.033585,0,4,9.297298,21.275001,8.689389
171,8.5500,cargo_0,1.000000,1.000000,0.096779,0.033221,0,5,7.780319,21.314142,7.889652
172,8.6000,cargo_0,1.000000,1.000000,0.097310,0.032690,0,5,9.318434,25.940641,7.957187
173,8.6500,cargo_0,1.000000,1.000000,0.097450,0.032550,0,5,5.650916,17.996324,5.698116
174,8.7000,cargo_0,1.000000,1.000000,0.104681,0.025319,0,5,-4.802184,24.993766,4.698139
175,8.7500,cargo_0,1.000000,1.000000,0.104274,0.025726,0,5,1.292662,23.560808,6.979395
176,8.8000,cargo_0,1.000000,1.000000,0.103996,0.026004,0,5,2.055716,24.321231,7.176413
177,8.8500,cargo_0,1.000000,1.000000,0.103882,0.026118,0,5,2.086261,24.965643,7.438052
178,8.9000,cargo_0,1.000000,1.000000,0.103910,0.026090,0,5,-1.905352,25.080781,6.522845
179,8.9500,cargo_0,1.000000,1.000000,0.103905,0.026095,0,5,1.311063,23.783216,7.703617
180,9.0000,cargo_0,1.000000,1.000000,0.103904,0.026096,0,5,0.671733,24.265247,8.215774
181,9.0500,cargo_0,1.000000,1.000000,0.102316,0.027684,0,5,1.888743,13.681432,5.947251
182,9.1000,cargo_0,1.000000,1.000000,0.100942,0.029058,0,5,3.129520,12.715956,5.216256
183,9.1500,cargo_0,1.000000,1.000000,0.099940,0.030060,0,4,2.624027,13.304496,5.114757
184,9.2000,cargo_0,1.000000,1.000000,0.098677,0.031323,0,4,3.325147,13.072827,4.201747
185,9.2500,cargo_0,1.000000,1.000000,0.097515,0.032485,0,4,3.356685,9.417533,5.222196
186,9.3000,cargo_0,1.000000,1.000000,0.097136,0.032864,0,4,3.244111,10.230948,4.940729
187,9.3500,cargo_0,1.000000,1.000000,0.096847,0.033153,0,4,1.154008,1.846924,5.780225
188,9.4000,cargo_0,1.000000,1.000000,0.096792,0.033208,0,3,0.575676,1.487019,5.676872
189,9.4500,cargo_0,1.000000,1.000000,0.096620,0.033380,0,4,2.773650,9.758963,3.572987
190,9.5000,cargo_0,1.000000,1.000000,0.096331,0.033669,0,4,3.145861,9.991793,4.397184
191,9.5500,cargo_0,1.000000,1.000000,0.096273,0.033727,0,5,2.226431,18.346874,6.791564
192,9.6000,cargo_0,1.000000,1.000000,0.095996,0.034004,0,5,2.415052,19.227372,7.350872
193,9.6500,cargo_0,1.000000,1.000000,0.095382,0.034618,0,5,3.420119,18.986269,7.847701
194,9.7000,cargo_0,1.000000,1.000000,0.095152,0.034848,0,5,2.769212,16.862370,8.454547
195,9.7500,cargo_0,1.000000,1.000000,0.102597,0.027403,0,5,-4.206289,22.796007,4.932208
196,9.8000,cargo_0,1.000000,1.000000,0.101356,0.028644,0,5,-0.307856,18.282033,8.309908
197,9.8500,cargo_0,1.000000,1.000000,0.099998,0.030002,0,5,0.122440,19.871056,8.479658
198,9.9000,cargo_0,1.000000,1.000000,0.099207,0.030793,0,5,0.324491,28.638809,7.059440
199,9.9500,cargo_0,1.000000,1.000000,0.098364,0.031636,0,5,0.262970,13.919549,8.923601
200,10.0000,cargo_0,1.000000,1.000000,0.097326,0.032674,0,5,1.492393,21.601251,8.567412
201,10.0500,cargo_0,1.000000,1.000000,0.096794,0.033206,0,5,1.271561,22.049777,8.593092
202,10.1000,cargo_0,1.000000,1.000000,0.096447,0.033553,0,5,6.742008,23.994639,6.556281
203,10.1500,cargo_0,1.000000,1.000000,0.095888,0.034112,0,5,7.564062,22.590063,9.228182
204,10.2000,cargo_0,1.000000,1.000000,0.095398,0.034602,0,5,6.647471,23.468722,8.451557
205,10.2500,cargo_0,1.000000,1.000000,0.094814,0.035186,0,5,6.972883,23.964237,7.864799
206,10.3000,cargo_0,1.000000,1.000000,0.094402,0.035598,0,5,6.639708,23.467361,8.461462
207,10.3500,cargo_0,1.000000,1.000000,0.094203,0.035797,0,5,6.647430,24.227411,8.325428
208,10.4000,cargo_0,1.000000,1.000000,0.094176,0.035824,0,5,6.094607,23.639308,7.950533
209,10.4500,cargo_0,1.000000,1.000000,0.093831,0.036169,0,5,8.176004,24.416319,8.326076
210,10.5000,cargo_0,1.000000,1.000000,0.101248,0.028752,0,5,1.169458,22.928270,7.394009
211,10.5500,cargo_0,1.000000,1.000000,0.104155,0.025845,0,4,2.229178,24.048773,8.549827
212,10.6000,cargo_0,1.000000,1.000000,0.101761,0.028239,0,4,4.865420,24.468500,8.817687
213,10.6500,cargo_0,1.000000,1.000000,0.100238,0.029762,0,4,4.764196,24.169044,8.965466
214,10.7000,cargo_0,1.000000,1.000000,0.099120,0.030880,0,4,4.913357,23.811153,8.944366
215,10.7500,cargo_0,1.000000,1.000000,0.098180,0.031820,0,4,5.207550,24.098149,8.871888
216,10.8000,cargo_0,1.000000,1.000000,0.096767,0.033233,0,4,6.147969,23.747640,9.143992
217,10.8500,cargo_0,1.000000,1.000000,0.096396,0.033604,0,4,5.744259,28.367688,7.797361
218,10.9000,cargo_0,1.000000,1.000000,0.096395,0.033605,0,4,10.281815,27.682454,5.388595
219,10.9500,cargo_0,1.000000,1.000000,0.096538,0.033462,0,4,6.074297,19.497889,6.732863
220,11.0000,cargo_0,1.000000,1.000000,0.096887,0.033113,0,4,6.789894,23.001604,6.107231
221,11.0500,cargo_0,1.000000,1.000000,0.097363,0.032637,0,4,6.835344,31.067069,7.818136
222,11.1000,cargo_0,1.000000,1.000000,0.101620,0.028380,0,5,-6.289346,29.843434,12.207306
223,11.1500,cargo_0,1.000000,1.000000,0.104145,0.025855,0,5,-7.169551,29.794527,13.768529
224,11.2000,cargo_0,1.000000,1.000000,0.105401,0.024599,0,4,-0.165310,37.633082,23.418075
225,11.2500,cargo_0,1.000000,1.000000,0.108043,0.021957,0,4,-6.829893,29.401598,12.706806
226,11.3000,cargo_0,1.000000,1.000000,0.108095,0.021905,0,3,0.922604,24.864955,13.478004
227,11.3500,cargo_0,1.000000,1.000000,0.108273,0.021727,0,3,-4.366596,24.490102,10.068829
228,11.4000,cargo_0,1.000000,1.000000,0.109394,0.020606,0,3,-3.582015,26.156934,8.829010
229,11.4500,cargo_0,1.000000,1.000000,0.109160,0.020840,0,3,0.579516,25.582437,11.771441
230,11.5000,cargo_0,1.000000,1.000000,0.107962,0.022038,0,3,-1.557229,29.647618,10.713860
231,11.5500,cargo_0,1.000000,1.000000,0.108351,0.021649,0,3,-5.541145,29.517603,7.076016
232,11.6000,cargo_0,1.000000,1.000000,0.108795,0.021205,0,3,-0.072407,27.757336,10.479627
233,11.6500,cargo_0,1.000000,1.000000,0.109614,0.020386,0,3,-1.554027,29.336718,8.837163
234,11.7000,cargo_0,1.000000,1.000000,0.109810,0.020190,0,3,-8.882942,26.218511,2.922958
235,11.7500,cargo_0,1.000000,1.000000,0.106921,0.023079,0,3,-6.773263,27.719761,4.163812
236,11.8000,cargo_0,1.000000,1.000000,0.105089,0.024911,0,3,-6.970930,28.772784,2.727474
237,11.8500,cargo_0,1.000000,1.000000,0.107026,0.022974,0,3,-2.187493,24.541049,4.977885
238,11.9000,cargo_0,1.000000,1.000000,0.107866,0.022134,0,3,-6.523683,27.731951,1.132773
239,11.9500,cargo_0,1.000000,1.000000,0.107790,0.022210,0,3,-3.093222,29.304379,3.379580
240,12.0000,cargo_0,1.000000,1.000000,0.107762,0.022238,0,2,-0.016472,27.884475,3.161557
241,12.0500,cargo_0,1.000000,1.000000,0.108170,0.021830,0,2,-0.446494,27.288584,2.739554
242,12.1000,cargo_0,1.000000,1.000000,0.108509,0.021491,0,2,0.629010,27.504634,3.339720
243,12.1500,cargo_0,1.000000,1.000000,0.108377,0.021623,0,2,-6.975672,26.691221,-1.909947
244,12.2000,cargo_0,1.000000,1.000000,0.108640,0.021360,0,2,-1.574637,26.735186,1.646047
245,12.2500,cargo_0,1.000000,1.000000,0.108134,0.021866,0,2,0.716676,25.506993,3.562986
246,12.3000,cargo_0,1.000000,1.000000,0.107441,0.022559,0,2,4.109679,26.806414,5.903634
247,12.3500,cargo_0,1.000000,1.000000,0.107786,0.022214,0,2,4.259012,28.036580,5.698635
248,12.4000,cargo_0,1.000000,1.000000,0.107509,0.022491,0,2,-0.582673,28.510159,2.577980
249,12.4500,cargo_0,1.000000,1.000000,0.108023,0.021977,0,2,-1.594122,28.721746,1.713088
250,12.5000,cargo_0,1.000000,1.000000,0.109308,0.020692,0,2,-1.494645,27.890949,1.473868
251,12.5500,cargo_0,1.000000,1.000000,0.109617,0.020383,0,2,-0.736659,27.479488,2.109168
252,12.6000,cargo_0,1.000000,1.000000,0.109796,0.020204,0,2,7.134937,25.942937,7.820435
253,12.6500,cargo_0,1.000000,1.000000,0.108657,0.021343,0,2,6.450420,25.853754,7.818769
254,12.7000,cargo_0,0.993750,0.993750,0.107684,0.022316,0,2,-1.401920,27.327381,2.229167
255,12.7500,cargo_0,0.993750,0.993750,0.107694,0.022306,0,2,7.367393,27.130459,8.431532
256,12.8000,cargo_0,0.993750,0.993750,0.106158,0.023842,0,2,2.380693,29.726065,5.503487
257,12.8500,cargo_0,0.993750,0.993750,0.107259,0.022741,0,2,-2.527354,29.216007,1.615187
258,12.9000,cargo_0,0.987500,0.987500,0.108631,0.021369,0,2,3.234709,27.315435,5.569337
259,12.9500,cargo_0,0.987500,0.987500,0.109337,0.020663,0,2,-4.186984,25.272810,0.201638
260,13.0000,cargo_0,0.987500,0.987500,0.110969,0.019031,0,2,-1.118449,12.392468,-2.767218
