case_id,shape,seed,position_class,yaw_deg,surface_density,ground_friction,contact_friction,vertex_count,goal_angle_deg,diameter_m,perimeter_m,domain_eligible,finite_time_eligible,theorem_eligible,termination,task_success,success_given_eligible,failure_class,frame,wall_seconds,fps,J_m,efficiency,max_cross_track_error_m,max_abs_rotation_deg,max_penetration_m,operational_enclosure_maintained,fallbacks,infeasible,rho_relaxations
convex_random__seed_002,convex_random,2,edge,337.2622368509505,1.5,0.45,0.4,8,150.85658010298832,1.8671603669337489,4.937029918310841,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,603,40.76267799997004,14.79294368246471,0.0773293302450559,0.972168478969247,0.01863559186986055,0.0,0.012162111977768869,False,0,0,0
concave_random7__seed_002,concave_random7,2,corner,216.52760698992762,0.8,0.15,0.6,7,150.85658010298832,1.0876368503392826,2.878084170040788,True,False,False,SUCCESS_HOLD,False,False,CONTRACT_FAILURE,381,17.9435022000107,21.233313081978658,0.09698593580679428,0.4701853550549945,0.1998376927746399,10.247626704512703,0.010596448567262079,False,0,0,0
concave_random15__seed_002,concave_random15,2,random,309.5142270118176,2.2,0.3,0.8,15,150.85658010298832,1.274883334144826,4.350297980060474,False,False,False,SUCCESS_HOLD,False,False,WRENCH_INFEASIBLE,432,29.969814100011718,14.414503825695439,0.08189761362661749,0.8255626023235195,0.05630861394002429,39.63346499235554,0.019234355164333333,True,0,0,0
high_aspect__seed_002,high_aspect,2,center,219.89281769988543,1.5,0.45,0.4,,150.85658010298832,1.619413474070165,3.6999999999999997,False,False,False,SUCCESS_HOLD,False,False,WRENCH_INFEASIBLE,327,13.291836500051431,24.6015665328666,0.07225171504993558,0.9079858987254023,0.033697270267729854,4.863559306276184,0.012507879945564016,True,0,0,0
polygon32__seed_002,polygon32,2,edge,99.43800797792899,0.8,0.15,0.6,32,150.85658010298832,1.279203797207768,4.105785475087661,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,345,14.796530299994629,23.316277059908106,0.17367846352770727,0.9877406700523215,0.046542262897155934,31.077526533209586,0.006034087083614387,False,0,0,0
circle__seed_003,circle,3,random,229.42038685889761,0.8,0.15,0.4,96,-72.63351417479517,1.1600000000000008,3.642784142067513,True,False,False,SUCCESS_HOLD,False,False,CONTRACT_FAILURE,459,16.405804400041234,27.977902747569413,0.5962184850563189,0.7996620112274576,0.4476886676319199,14.73893068041965,0.011200204140117076,False,0,0,0
rectangle__seed_003,rectangle,3,center,204.00947278697308,2.2,0.3,0.6,,-72.63351417479517,1.3567977004697498,3.740000000000001,False,False,False,SUCCESS_HOLD,True,False,WRENCH_INFEASIBLE,333,5.7688014000304975,57.72429607270577,0.07786047678577655,0.9995066036007606,0.0028794137110351274,11.10606343877895,0.01339252961645887,True,0,0,0
ellipse24__seed_003,ellipse24,3,edge,28.3743237270002,1.5,0.45,0.8,24,-72.63351417479517,1.4399999999999995,3.633297191859828,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,369,6.95953809999628,53.020760099035485,0.09128527358723805,0.9792546889749778,0.019043371613739375,7.847168777182511,0.011645566978955774,False,0,0,0
l_shape__seed_003,l_shape,3,corner,49.39068689768056,0.8,0.15,0.4,,-72.63351417479517,1.6122034611053282,4.56,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,327,13.673112699994817,23.91554923701638,0.14939191686088737,0.9487490263875914,0.04976279580673929,7.675976309152853,0.004807355557528037,False,0,0,0
u_shape__seed_003,u_shape,3,random,133.9239128179114,2.2,0.3,0.6,8,-72.63351417479517,1.7029386365926402,6.300000000000001,False,False,False,SUCCESS_HOLD,False,False,WRENCH_INFEASIBLE,348,26.0281030999613,13.370163728931804,0.0734622439280838,0.9916944505443355,0.010809047293113896,34.52099305622911,0.011205418724252098,False,0,0,0
c_shape__seed_003,c_shape,3,center,0.2989584279922042,1.5,0.45,0.8,8,-72.63351417479517,1.7029386365926404,6.6000000000000005,False,False,False,SUCCESS_HOLD,False,False,CAGE_INFEASIBLE,327,18.749625399999786,17.44034843490813,0.08567150840497524,0.9996731158771051,0.002353124986270415,0.9741016578490738,0.017329815015198563,False,0,0,0
star10__seed_003,star10,3,edge,320.84579223322913,0.8,0.15,0.4,10,-72.63351417479517,1.331479122813215,4.69582698443549,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,351,17.107301699987147,20.517554793592243,0.20527341569732194,0.9768937098946133,0.04490990809683012,23.332757154959186,0.004590643457531296,False,0,0,0
convex_random__seed_003,convex_random,3,corner,162.18228796349496,2.2,0.3,0.6,9,-72.63351417479517,1.7427955483989468,4.821555143076761,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,441,21.66670379997231,20.353811270571004,0.08353592972436763,0.9955798566295765,0.007880430502606416,0.36714310245934567,0.011686524633939044,False,0,0,0
concave_random7__seed_003,concave_random7,3,random,177.39049882168976,1.5,0.45,0.8,7,-72.63351417479517,1.215687915854175,3.0968223284757443,False,False,False,SUCCESS_HOLD,False,False,WRENCH_INFEASIBLE,327,11.057226300006732,29.57342023467503,0.07595001244155897,0.7567508001912093,0.06560784164453504,42.08128789802106,0.015504530329261718,True,0,0,0
concave_random15__seed_003,concave_random15,3,center,52.70992015071057,0.8,0.15,0.4,15,-72.63351417479517,1.3179960617596749,4.3205862830026724,False,False,False,SOLVER_FAILURE,False,False,SOLVER_FAILURE,237,1.9066454999847338,124.30207922862306,0.04002077976125302,0.28035559090206513,0.14259353874581693,4.799898693455059,0.027374007769583042,,1,1,5
high_aspect__seed_003,high_aspect,3,edge,278.4163831644996,2.2,0.3,0.6,,-72.63351417479517,1.6194134740701651,3.700000000000001,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,330,13.55799110000953,24.33988911526635,0.056972152395848394,0.4500485988890609,0.11304637712468128,70.41059289461029,0.008678279725964383,False,0,0,0
polygon32__seed_003,polygon32,3,corner,153.61302037434476,1.5,0.45,0.8,32,-72.63351417479517,1.2802758701476231,4.300314069982093,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,351,15.33640650002053,22.886717302356985,0.10159084121418233,0.9985585990203116,0.008467295258013225,12.090158370911444,0.012584103477409847,False,0,0,0
circle__seed_004,circle,4,center,183.91347533479401,1.5,0.45,0.6,96,-127.68996037846841,1.1600000000000006,3.642784142067513,False,False,False,SUCCESS_HOLD,True,False,WRENCH_INFEASIBLE,372,25.42327309999382,14.632262279402978,0.07860352424439329,0.9975692328626986,0.007485933403630754,0.05412539434542435,0.01235027748262077,True,0,0,0
