alpha,seed,diameter_m,target_distance_m,sampler_attempts,goal_angle_deg,success,failure_reasons,J,J_over_diameter,J_over_target,efficiency,direction_error_deg,max_cross_track,max_cross_track_over_diameter,implied_direction_gate_deg,rotation_deg,max_strict_coverage,final_strict_coverage,min_inter_agent_distance,d_min,min_signed_clearance,max_penetration,penetration_budget,barrier_scalings,margin_relaxations,solver_fallbacks,solver_infeasible,solves,first_detection_frame,contact_ready_frame,transport_frame,brake_frame,hold_frame,final_phase,frames_run,terminated_by,settled,completion_time_s,fps
0.8,5,2.5455844122715714,2.036467529817257,1,96.09942625178446,True,,2.43152307372996,0.9551924744700067,1.1939905930875083,0.9995101026869221,1.7935268825955166,0.0793046362760324,0.03115380338350843,3.5368068390158807,0.032720162551813245,1.0,1.0,0.28067837550651015,0.28,0.07281541440004416,0.057184585599955845,0.09672894564952028,0,0,0,0,9920,0,73,223,442,580,HOLD,620,settled,True,31.0,20.442809453455883
0.8,6,2.5455844122715714,2.036467529817257,2,6.79603012435237,False,"G500: 2 scaled-barrier event(s), smallest factor 0.746; the contract allows 0",2.4311670950822415,0.9550526328501404,1.1938157910626754,0.9987610836060068,2.8523543563319778,0.13676151722023344,0.053724997906548805,3.5373253676149234,0.0,0.875,0.84375,0.29509049112294067,0.28,0.09064867291216672,0.03935132708783329,0.10015164107908599,2,0,0,0,5168,0,55,133,223,282,HOLD,323,settled,True,16.150000000000002,20.78888154491453
0.8,7,2.5455844122715714,2.036467529817257,2,322.82638293330945,True,,2.5071763080153575,0.984911871682173,1.231139839602716,0.9719599579503863,13.600254049115009,0.6102723015836343,0.23973760156672755,3.4299551724160704,-0.6631882024516361,1.0,1.0,0.2804958172724216,0.28,0.07568101323172155,0.054318986768278454,0.10089908412899687,0,0,0,0,9648,0,66,133,473,562,HOLD,603,settled,True,30.150000000000002,19.905840554521223
0.8,8,2.5455844122715714,2.036467529817257,1,357.6946179453914,True,,2.337591420383825,0.9182926361093866,1.1478657951367333,0.9999998393540247,0.03247674989708464,0.07081001129358225,0.027816799534215564,3.6791185365716474,0.0,1.0,0.9875,0.2800503885092485,0.28,0.09345270431391572,0.03654729568608428,0.09902637642699172,0,0,0,0,7664,0,89,285,342,402,HOLD,479,settled,True,23.950000000000003,21.025470118427517
0.8,9,2.5455844122715714,2.036467529817257,1,55.21178356827038,False,"G500: 7 scaled-barrier event(s), smallest factor 0.688; the contract allows 0",2.5039211836019435,0.9836331380453224,1.229541422556653,0.9948812730514893,5.799680094473173,0.4059125171044612,0.15945749634059164,3.4344194955762912,0.4919844855444963,1.0,0.99375,0.2807293301733759,0.28,0.0788467328246516,0.051153267175348405,0.09832446483397692,7,0,0,0,10096,0,70,71,313,590,HOLD,631,settled,True,31.55,19.524419064061036
0.8,10,2.5455844122715714,2.036467529817257,1,2.949873175959752,True,,2.3556437387632023,0.9253842565217179,1.1567303206521473,0.9992109993910795,2.2761708564967273,0.09466882425360196,0.037189426442599684,3.6508854881668302,-0.017459528027184555,1.0,0.9125,0.28699240371578816,0.28,0.09655752912920512,0.03344247087079488,0.0984851100370294,0,0,0,0,6176,0,69,205,285,346,HOLD,386,settled,True,19.3,20.552032928830048
0.8,11,2.5455844122715714,2.036467529817257,1,35.98273540288894,True,,2.5985005870097653,1.0207874366621272,1.275984295827659,0.9784861790055541,11.90633522711115,0.5478900448170682,0.2152315366859724,3.309272751503399,-0.6291546091774989,1.0,1.0,0.29319798416759985,0.28,0.08106039849712468,0.048939601502875324,0.10030246681372215,0,0,0,0,5888,0,76,77,244,309,HOLD,368,settled,True,18.400000000000002,20.316326080391025
1.0,0,2.5455844122715714,2.5455844122715714,18,55.872638915747,False,"G500: 5 scaled-barrier event(s), smallest factor 0.914; the contract allows 0",3.107424227287041,1.2207115239655746,1.2207115239655746,0.9846791007321167,10.042360433561617,0.5504325159255283,0.21623031366472964,2.7668279185140587,0.0,1.0,1.0,0.2913855623799242,0.28,0.07921298230551388,0.050787017694486125,0.09982739393068349,5,0,0,0,10000,0,84,85,344,585,HOLD,625,settled,True,31.25,19.592257596218392
1.0,1,2.5455844122715714,2.5455844122715714,6,329.4845090987642,True,,3.365594012004306,1.322130193671713,1.322130193671713,0.9980966543378248,3.5356182910469833,0.4259550953383352,0.16733096466372174,2.554442009622672,0.0,0.9625,0.95625,0.28269738315373166,0.28,0.08136423145040439,0.048635768549595615,0.10250162012981595,0,0,0,0,6608,0,75,153,282,373,HOLD,413,settled,True,20.650000000000002,19.662474065411676
1.0,2,2.5455844122715714,2.5455844122715714,6,130.79030414145993,False,"G500: 3 scaled-barrier event(s), smallest factor 0.684; the contract allows 0",3.278890768436717,1.2880699428508733,1.2880699428508733,0.9932644851995835,6.65375944426056,0.39858189218962425,0.15657775490302706,2.6220353412609088,3.7827308631798693,1.0,0.95625,0.2802374920329514,0.28,0.07762104567073064,0.05237895432926937,0.10112883488523208,3,0,0,0,7040,0,81,131,304,379,HOLD,440,settled,True,22.0,20.097497160932466
1.0,3,2.5455844122715714,2.5455844122715714,1,30.576349067927193,False,"G500: 31 scaled-barrier event(s), smallest factor 0.211; the contract allows 0",3.2225552667566078,1.265939267706678,1.265939267706678,0.9974591442603917,4.085259360887243,0.23119202776313807,0.09082080588199082,2.6679056501855607,-0.00019900873185031194,0.99375,0.99375,0.28141273576759174,0.28,0.07714394082985088,0.05285605917014913,0.09964439526649198,31,0,0,0,10992,0,77,78,323,647,HOLD,687,settled,True,34.35,19.02056709978608
1.0,4,2.5455844122715714,2.5455844122715714,2,50.18394608479205,True,,3.1481361390678204,1.2367046733518285,1.2367046733518285,0.9733204409555387,13.26469526494848,0.7421399175478389,0.29154009349294563,2.731019810169783,0.0,0.99375,0.9875,0.2829449720662523,0.28,0.08021157207242968,0.04978842792757032,0.09688433214210762,0,0,0,0,8528,0,58,101,352,492,HOLD,533,settled,True,26.650000000000002,19.414756905388593
1.0,5,2.5455844122715714,2.5455844122715714,3,124.08850523892276,False,"G500: 27 scaled-barrier event(s), smallest factor 0.090; the contract allows 0",3.0159934865172975,1.1847941368504662,1.1847941368504662,0.9991159072597867,2.409453470640562,0.21132962251201248,0.08301811619102072,2.8507733928486543,2.1467096771995715,1.0,1.0,0.28073328849373835,0.28,0.07818582356306408,0.05181417643693592,0.09464241908867098,27,0,0,0,11248,0,81,134,489,663,HOLD,703,settled,True,35.15,18.63263064435281
1.0,6,2.5455844122715714,2.5455844122715714,3,318.78759918014737,False,"G500: 32 scaled-barrier event(s), smallest factor 0.086; the contract allows 0",3.4825105054861765,1.3680593299903703,1.3680593299903703,0.9841632024446307,10.210479483380754,0.7234008810968608,0.28417870474439644,2.4686290407383735,0.0,0.81875,0.75,0.2804619900459043,0.28,0.07510815896277334,0.05489184103722666,0.10382028831714962,32,0,0,0,5456,0,81,82,224,300,HOLD,341,settled,True,17.05,17.011422516703096
1.0,7,2.5455844122715714,2.5455844122715714,2,322.82638293330945,True,,3.206510340505767,1.2596362253980073,1.2596362253980073,0.9769811701502531,12.317309920247515,0.7273668538976319,0.2857366860007446,2.6812652037578397,-0.6510984909556621,1.0,1.0,0.2804958172724216,0.28,0.07568101323172155,0.054318986768278454,0.10153698727139705,0,0,0,0,11808,0,66,133,527,619,HOLD,738,settled,True,36.9,17.458680743731907
1.0,8,2.5455844122715714,2.5455844122715714,5,318.0362043389665,False,"G500: 6 scaled-barrier event(s), smallest factor 0.375; the contract allows 0",3.5032702108703693,1.3762145124640357,1.3762145124640357,0.9903982749356939,7.946216155614208,0.48899946884041223,0.19209713356315294,2.453991441546925,0.3014606608630608,0.94375,0.94375,0.2827669081850933,0.28,0.07521540786820545,0.054784592131794554,0.10258786134056853,6,0,0,0,5872,0,89,90,245,326,HOLD,367,settled,True,18.35,16.61574574439143
